Column1,Material,N_p,L_t,P_t,N_t,d_o,d_i,A,d_shell,V_tubes,V_shell,h_o,h_i,U,e,A_req,U_o_guess,T_o,dT_lm,m_dot_c,D_s/Lt
402253,3,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,0.919494716,13.7244541,7920.946864,5238.005748,2471.253402,0.653047819,17.18835135,3350,71.24357396,42.45344589,18.70270242,0.064119941
402329,3,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,1.147689798,14.578314,7920.946864,6118.136558,2705.214211,0.604347719,13.47814724,3912.5,65,46.3561575,23.37958717,0.064119941
402348,3,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,0.919494716,13.7244541,7920.946864,5238.005748,2471.253402,0.653047819,14.71718262,3912.5,71.24357396,42.45344589,18.70270242,0.064119941
402424,3,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,1.147689798,14.578314,7920.946864,6118.136558,2705.214211,0.604347719,11.78396672,4475,65,46.3561575,23.37958717,0.064119941
402443,3,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,0.919494716,13.7244541,7920.946864,5238.005748,2471.253402,0.653047819,12.86725743,4475,71.24357396,42.45344589,18.70270242,0.064119941
402519,3,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,1.147689798,14.578314,7920.946864,6118.136558,2705.214211,0.604347719,10.46813917,5037.5,65,46.3561575,23.37958717,0.064119941
402538,3,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,0.919494716,13.7244541,7920.946864,5238.005748,2471.253402,0.653047819,11.4304669,5037.5,71.24357396,42.45344589,18.70270242,0.064119941
402614,3,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,1.147689798,14.578314,7920.946864,6118.136558,2705.214211,0.604347719,9.416651976,5600,65,46.3561575,23.37958717,0.064119941
402633,3,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,0.919494716,13.7244541,7920.946864,5238.005748,2471.253402,0.653047819,10.28231732,5600,71.24357396,42.45344589,18.70270242,0.064119941
432653,4,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,0.919494716,13.7244541,7920.946864,5238.005748,2364.376948,0.636794862,52.34634274,1100,71.24357396,42.45344589,18.70270242,0.064119941
